Course_Name,rating,topics covered,Designed for,Certification Type,Duration
Google Marketing Digital e E-Commerce,4.9,"[' E-Commerce, Marketing, Search Engine Optimization, Social Media, Strategy']",Beginner , Professional Certificate , 3 - 6 Months
"TESOL Certificate, Part 1: Teach English Now!",4.9,"[' Human Learning, Planning, Strategy, Mergers & Acquisitions']",Beginner , Specialization , 3 - 6 Months
"Start the UX Design Process: Empathize, Define, and Ideate",4.8,"[' Audit, Human Computer Interaction, User Experience, User Experience Design, User Research']",Beginner , Course , 1 - 4 Weeks
Data Structures and Algorithms,4.6,"[' Algorithms, Theoretical Computer Science, Computer Programming, Data Structures, Problem Solving, Mathematics, Computational Thinking, Computer Programming Tools, Computational Logic, Critical Thinking, Graph Theory, Programming Principles, Mathematical Theory & Analysis, C++ Programming, Algebra, Software Testing']",Intermediate , Specialization , 3 - 6 Months
Tools of the Trade: Linux and SQL,4.8,"[' Linux, Databases, SQL']",Beginner , Course , 1 - 4 Weeks
Process Data from Dirty to Clean,4.8,"[' Data Analysis, SQL, Spreadsheet Software, General Statistics, Databases, Extract, Transform, Load, Microsoft Excel']",Beginner , Course , 1 - 3 Months
Preparing for Google Cloud Certification: Cloud Security Engineer,4.7,"[' Cloud Computing, Google Cloud Platform, Network Security, Cloud Platforms, Cloud Engineering, Computer Security Models, Security Engineering, Software Security, Network Architecture, System Security, Cloud Infrastructure, Computer Networking, Security Strategy, Computer Security Incident Management, Cloud Management, Network Model, Software-Defined Networking, Security Software, Cloud Storage, Google App Engine, Leadership and Management, Kubernetes']",Intermediate , Professional Certificate , 3 - 6 Months
Tableau Business Intelligence Analyst,4.7,"[' Business Analysis, Data Analysis, Data Architecture, Data Management, Data Visualization, Interactive Data Visualization, Leadership and Management, Project Management, Tableau Software']",Beginner , Professional Certificate , 3 - 6 Months
Medical Billing and Coding Fundamentals,4.8,"[' Communication, Critical Thinking, Leadership and Management']",Beginner , Specialization , 3 - 6 Months
Search Engine Optimization (SEO),4.6,"[' Marketing, Search Engine Optimization, Digital Marketing, Strategy, User Experience, Customer Analysis, Social Media, User Research, Web Development, Market Analysis, Data Analysis, User Experience Design, Web Development Tools, Algorithms, Brand Management, Critical Thinking, Market Research, Decision Making, Marketing Management, Audit']",Beginner , Specialization , 3 - 6 Months
Supply Chain Management,4.7,"[' Supply Chain Systems, Supply Chain and Logistics, Planning, Strategy and Operations, Inventory Management, Leadership and Management, Operations Management, Business Analysis, Continuous Delivery, Data Analysis, Estimation, Forecasting, Microsoft Excel, Statistical Analysis, Strategy, Supplier Relationship Management, Warehouse Management, Probability & Statistics, Transportation Operations Management, Operations Research, Performance Management']",Beginner , Specialization , 3 - 6 Months
Architecting with Google Kubernetes Engine,4.7,"[' Cloud Computing, Kubernetes, Google Cloud Platform, Cloud Platforms, Cloud Engineering, Cloud Infrastructure, Cloud Management, Billing & Invoicing, Google App Engine, Cloud Storage, DevOps, Application Development, Cloud Standards, Account Management']",Beginner , Specialization , 3 - 6 Months
Preparing for Google Cloud Certification: Machine Learning Engineer,4.5,"[' Machine Learning, Google Cloud Platform, Applied Machine Learning, Human Learning, Cloud Computing, Machine Learning Software, Cloud Platforms, Machine Learning Algorithms, Tensorflow, Deep Learning, Feature Engineering, Artificial Neural Networks, Training, Exploratory Data Analysis, DevOps, Python Programming, Cloud-Based Integration, Data Analysis, Data Visualization, Probability & Statistics, Statistical Programming, Big Data, Regression, Statistical Visualization, SQL, Algorithms, Continuous Integration, Cloud API, Apache, Extract, Transform, Load, Docker (Software)']",Intermediate , Professional Certificate , 3 - 6 Months
IBM Machine Learning,4.6,"[' Machine Learning, Machine Learning Algorithms, Human Learning, Statistical Machine Learning, Data Analysis, Probability & Statistics, Applied Machine Learning, Algorithms, Forecasting, Statistical Analysis, Regression, Deep Learning, General Statistics, Python Programming, Machine Learning Software, Artificial Neural Networks, Exploratory Data Analysis, Feature Engineering, Correlation And Dependence, Dimensionality Reduction, Statistical Tests, Reinforcement Learning, Statistical Programming, Visualization (Computer Graphics), Network Model, Tensorflow']",Intermediate , Professional Certificate , 3 - 6 Months
Google Cloud Database Engineer,4.7,"[' Databases, Cloud Computing, Google Cloud Platform, Data Management, Cloud Platforms, Database Administration, Database Application, SQL, Cloud Infrastructure, Cloud Storage, Data Analysis, Google App Engine, Kubernetes, PostgreSQL']",Intermediate , Specialization , 3 - 6 Months
Preparing for Google Cloud Certification: Cloud DevOps Engineer,4.7,"[' DevOps, Communication, Leadership and Management, Collaboration, Design and Product, Entrepreneurship, Product Development, Product Management, Strategy and Operations, Continuous Delivery, Cloud Computing, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Culture, Docker (Software), Google App Engine, Google Cloud Platform, Kubernetes']",Beginner , Professional Certificate , 3 - 6 Months
Preparing for Google Cloud Certification: Cloud Developer,4.7,"[' Cloud Applications, Cloud Computing, Google Cloud Platform, Cloud Platforms, Cloud Infrastructure, Cloud API, Application Development, Computer Architecture, Software Architecture, Other Cloud Platforms and Tools, Cloud Load Balancing, Cloud Storage, DevOps, Docker (Software), Google App Engine, Kubernetes']",Intermediate , Professional Certificate , 3 - 6 Months
The Business of Health Care,4.6,"[' Leadership and Management, Finance, Decision Making, Performance Management, Strategy and Operations, Operations Management, Business Analysis, Financial Analysis, Financial Management, Business Psychology, Accounting, Accounts Payable and Receivable, Financial Accounting, General Accounting, Management Accounting, People Management, People Analysis, Strategy, Business Process Management, Innovation, Leadership Development, Payments, Behavioral Economics, Problem Solving, Compensation, Correlation And Dependence, Insurance Sales, Research and Design, Risk Management']",Beginner , Specialization , 3 - 6 Months
Linear Algebra for Machine Learning and Data Science,4.5,"[' Algebra, Linear Algebra, Machine Learning']",Beginner , Course , 1 - 4 Weeks
Construction Management,4.7,"[' Project Management, Leadership and Management, Strategy and Operations, Planning, Estimation, Operations Management, Budget Management, Accounting, Decision Making, Finance, Cost Accounting, Critical Thinking, Financial Accounting, Performance Management, Strategy, Financial Analysis, Organizational Development, Investment Management, Financial Management, Process Analysis, Risk Management, Computational Logic, Network Model, Statistical Visualization, Collaboration, Innovation, Change Management, Business Transformation, Supply Chain and Logistics, Entrepreneurship']",Beginner , Specialization , 3 - 6 Months
Project Execution: Running the Project,4.8,"[' Leadership and Management, Communication, Project Management, Strategy and Operations, Business Communication, Collaboration, Risk Management, Planning']",Beginner , Course , 1 - 3 Months
IT Fundamentals for Cybersecurity,4.6,"[' Cryptography, Network Security, Linux, Networking Hardware, Security Software, System Software, Cloud Computing, Cyberattacks, Databases, Leadership and Management, Operating Systems, SQL, System Security']",Beginner , Specialization , 3 - 6 Months
Developing Applications with Google Cloud,4.7,"[' Cloud API, Cloud Computing, Cloud Platforms, Google Cloud Platform, Cloud Applications, Application Development, Cloud Infrastructure, Computer Architecture, Software Architecture, Other Cloud Platforms and Tools, Cloud Storage, Google App Engine, Kubernetes']",Intermediate , Specialization , 3 - 6 Months
Preparing for Google Cloud Certification: Cloud Network Engineer,4.7,"[' Cloud Computing, Cloud Platforms, Computer Networking, Google Cloud Platform, Network Architecture, Cloud Engineering, Cloud Infrastructure, Network Model, Network Security, Software-Defined Networking, Security Strategy, Leadership and Management, Cloud Storage, Google App Engine, Kubernetes']",Intermediate , Professional Certificate , 3 - 6 Months
Security in Google Cloud,4.7,"[' Google Cloud Platform, Cloud Computing, Security Engineering, System Security, Cloud Platforms, Computer Security Models, Network Security, Security Software, Security Strategy, Software Security, Cloud Infrastructure, Cloud Management, Cloud Storage, Google App Engine, Kubernetes']",Intermediate , Specialization , 3 - 6 Months
Preparing for Google Cloud Certification: Cloud Data Engineer,4.6,"[' Cloud Computing, Google Cloud Platform, Cloud Platforms, Data Management, Data Analysis Software, Databases, Big Data, Data Analysis, Computer Networking, Applied Machine Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Communication, Algorithms, Apache, Business Analysis, Leadership and Management, Network Security, Feature Engineering, SQL, Cloud Storage, Python Programming, Data Warehousing, Statistical Programming, Tensorflow']",Intermediate , Professional Certificate , 3 - 6 Months
Certified in Cybersecurity,4.8,"[' Computer Security Incident Management, Risk Management, Leadership and Management, Network Security, Cryptography, Cyberattacks, Operations Management']",Beginner , Specialization , 3 - 6 Months
Networking in Google Cloud,4.7,"[' Cloud Computing, Cloud Platforms, Computer Networking, Google Cloud Platform, Network Architecture, Cloud Engineering, Cloud Infrastructure, Network Model, Network Security, Software-Defined Networking, Security Strategy, Leadership and Management, Cloud Storage, Google App Engine, Kubernetes']",Intermediate , Specialization , 3 - 6 Months
Crash Course on Python,4.8,"[' Computer Programming, Data Structures, Problem Solving, Python Programming']",Beginner , Course , 1 - 3 Months
Psychological First Aid,4.8,[],Mixed , Course , 1 - 3 Months
Regulatory Compliance,4.8,"[' Regulations and Compliance, Critical Thinking, Leadership and Management, Organizational Development, Risk Management, Strategy and Operations, Strategy, Finance, Decision Making, Employee Relations, Problem Solving, Business Psychology, Communication, Operations Management, Brand Management, Data Management']",Intermediate , Specialization , 3 - 6 Months
Improve Your English Communication Skills,4.7,"[' Communication, Writing, Business Communication, Professional Development']",Beginner , Specialization , 3 - 6 Months
Digital Marketing,4.7,"[' Digital Marketing, Marketing, Market Analysis, Media Strategy & Planning, Social Media, Data Analysis, Market Research, Advertising, Communication, Customer Relationship Management, Strategy, Business Analysis, Data Visualization, Exploratory Data Analysis, Data Management, Brand Management, Marketing Management, Data Analysis Software, Decision Making, Marketing Design, Critical Thinking, Process Analysis, Business Communication, Business Intelligence, Business Transformation, User Research, Interactive Data Visualization, Collaboration, Planning']",Beginner , Specialization , 3 - 6 Months
AWS Cloud Solutions Architect,4.8,"[' Amazon Web Services, Cloud Computing, Cloud Storage, Data Management, Big Data, Cloud Applications, Cloud Engineering, Data Analysis, Data Warehousing, Extract, Transform, Load, Cloud Management, Cloud-Based Integration, Data Architecture, Cloud Infrastructure, Data Visualization, Other Cloud Platforms and Tools, Software Architecture, Machine Learning']",Intermediate , Professional Certificate , 3 - 6 Months
AWS Fundamentals,4.8,"[' Amazon Web Services, Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Applications, Cloud Platforms, Cloud Engineering, Cloud Storage, Network Security, Cloud API, Cloud-Based Integration, Computer Security Models, Security Engineering, Security Software, Security Strategy, System Security, Software Security, Cloud Standards, Computer Programming Tools, Distributed Computing Architecture, Other Cloud Platforms and Tools, Cloud Load Balancing, Data Management, Database Application, Databases, Software Architecture, Data Visualization, Data Analysis, Planning']",Beginner , Specialization , 1 - 3 Months
Salesforce Sales Operations,4.6,"[' Sales, Customer Relationship Management, Salesforce, Sales Systems, Account Management, Business Process Management, Customer Success, Leadership and Management, Marketing, Operations Management, Strategy, Strategy and Operations, B2B Sales, Databases, Business Analysis, Data Visualization, Data Visualization Software']",Beginner , Professional Certificate , 3 - 6 Months
IBM Introduction to Machine Learning,4.6,"[' Machine Learning, Machine Learning Algorithms, Algorithms, Statistical Machine Learning, Human Learning, Probability & Statistics, Applied Machine Learning, Data Analysis, Regression, General Statistics, Python Programming, Feature Engineering, Machine Learning Software, Exploratory Data Analysis, Dimensionality Reduction, Statistical Analysis, Statistical Programming, Statistical Tests, Visualization (Computer Graphics)']",Intermediate , Specialization , 3 - 6 Months
"HTML, CSS, and Javascript for Web Developers",4.7,"[' Front-End Web Development, HTML and CSS, Javascript, Web Development']",Mixed , Course , 1 - 3 Months
"Data Engineering, Big Data, and Machine Learning on GCP",4.6,"[' Google Cloud Platform, Cloud Computing, Cloud Platforms, Big Data, Applied Machine Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Algorithms, Data Management, Apache, Feature Engineering, SQL, Cloud Storage, Python Programming, Data Warehousing, Statistical Programming, Tensorflow']",Intermediate , Specialization , 3 - 6 Months
DiseÃ±o de Experiencia del Usuario (UX) de Google,4.8,"[' User Experience, User Experience Design, Research and Design, Visual Design, Communication, Design and Product, Persona Research, Product Design, User Research, Adaptability, Graphic Design, Collaboration, Leadership and Management, Mobile Development, Planning, Web Design, Audit']",Beginner , Professional Certificate , 3 - 6 Months
The Science of Well-Being,4.9,[],Mixed , Course , 1 - 3 Months
AWS Cloud Technology Consultant,4.8,"[' Amazon Web Services, Cloud API, Cloud Computing, Cloud Infrastructure, Cloud Storage, Computer Programming, Continuous Integration, Customer Support, Data Analysis, Data Architecture, DevOps, Information Technology, Machine Learning, Project Management, Python Programming, Software Architecture, Software Testing, Strategy, Web Development']",Beginner , Professional Certificate , 3 - 6 Months
Pharmacy Technician Fundamentals,4.8,"[' Communication, Leadership and Management']",Beginner , Specialization , 3 - 6 Months
Fundamentals of Project Planning and Management,4.7,"[' Project Management, Strategy and Operations, Leadership and Management, Planning']",Beginner , Course , 1 - 4 Weeks
Operating Systems and You: Becoming a Power User,4.7,"[' Linux, Leadership and Management, Operating Systems']",Beginner , Course , 1 - 3 Months
Fintech: Foundations & Applications of Financial Technology,4.6,"[' FinTech, Finance, BlockChain, Innovation, Investment Management, Financial Management, Financial Analysis, Risk Management, General Statistics, Payments, Algorithms, Behavioral Economics, Entrepreneurial Finance, Market Research, Cash Management, Cryptography, Human Learning, Machine Learning Algorithms, Machine Learning Software, Securities Trading, System Security, Applied Machine Learning, Machine Learning, Product Strategy, Critical Thinking, Systems Design']",Beginner , Specialization , 3 - 6 Months
Mathematics for Machine Learning,4.6,"[' Algebra, Linear Algebra, Mathematics, Machine Learning, Mathematical Theory & Analysis, Computer Programming, Python Programming, Machine Learning Algorithms, Calculus, Computational Logic, Algorithms, Differential Equations, Applied Mathematics, Problem Solving, Statistical Analysis, Dimensionality Reduction, Computer Programming Tools, Probability & Statistics, Regression']",Beginner , Specialization , 3 - 6 Months
"Python for Data Science, AI & Development",4.6,"[' Python Programming, Computer Programming, Data Analysis']",Beginner , Course , 1 - 3 Months
Business Analytics with Excel: Elementary to Advanced,4.8,"[' Business Analysis, Data Analysis, Data Visualization, Spreadsheet Software, Data Model, Decision Making, Microsoft Excel, Process Analysis, Statistical Visualization']",Intermediate , Course , 1 - 3 Months
"Unsupervised Learning, Recommenders, Reinforcement Learning",4.9,"[' Algorithms, Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Human Learning, Deep Learning, Machine Learning Software, Artificial Neural Networks, Mathematics, Reinforcement Learning, Tensorflow']",Beginner , Course , 1 - 4 Weeks
Analyze Data to Answer Questions,4.6,"[' Data Analysis, Microsoft Excel, SQL, Spreadsheet Software']",Beginner , Course , 1 - 4 Weeks
Artificial Intelligence in Marketing,4.6,"[' Digital Marketing, Marketing, Algorithms, Customer Relationship Management, Market Analysis, Strategy, Leadership and Management, Machine Learning, Machine Learning Software, Product Strategy']",Beginner , Course , 1 - 4 Weeks
Leadership Skills,4.8,"[' Communication, Leadership and Management, People Management']",Beginner , Course , 1 - 3 Months
People and Soft Skills for Professional and Personal Success,4.6,"[' Leadership and Management, Communication, Problem Solving, Critical Thinking, Planning, Professional Development, Collaboration, People Management, Conflict Management']",Beginner , Specialization , 1 - 3 Months
Financial Engineering and Risk Management,4.5,"[' Finance, Risk Management, Probability & Statistics, Leadership and Management, Mathematics, Investment Management, Securities Sales, Securities Trading, Computer Programming']",Intermediate , Specialization , 3 - 6 Months
Accelerated Computer Science Fundamentals,4.7,"[' Computer Programming, C Programming Language Family, Data Structures, Algorithms, C++ Programming, Theoretical Computer Science, Programming Principles, Computational Thinking, Problem Solving, Computer Programming Tools, Computational Logic, Graph Theory']",Intermediate , Specialization , 1 - 3 Months
Mergers and Acquisitions,4.6,"[' Mergers & Acquisitions, Finance, Accounting, Financial Analysis, Financial Accounting, Banking, Business Analysis, Investment Management, Financial Management, Data Analysis, Market Analysis, Corporate Accouting, Taxes']",Intermediate , Specialization , 3 - 6 Months
Data Science,4.5,"[' R Programming, Data Analysis, Statistical Programming, Statistical Analysis, Computer Programming, Exploratory Data Analysis, General Statistics, Problem Solving, Probability & Statistics, Computer Programming Tools, Critical Thinking, Programming Principles, Statistical Tests, Data Management, Data Structures, Statistical Machine Learning, Basic Descriptive Statistics, Algorithms, Data Model, Human Learning, Machine Learning, Machine Learning Algorithms, Process Analysis, Correlation And Dependence, Data Visualization, Data Visualization Software, Plot (Graphics), Regression, Computer Graphics, Applied Machine Learning, Big Data, Computational Thinking, Estimation, Extract, Transform, Load, Mathematics, Probability Distribution, Databases, Interactive Data Visualization, Machine Learning Software, Communication, Computer Graphic Techniques, Knitr, Natural Language Processing, Visualization (Computer Graphics), Interactive Design, Web Development']",Beginner , Specialization , 3 - 6 Months
Algorithms,4.8,"[' Algorithms, Theoretical Computer Science, Computer Programming, Problem Solving, Graph Theory, Mathematics, Data Structures, Computational Thinking, Mathematical Theory & Analysis, Critical Thinking, Computational Logic, Programming Principles, Software Engineering']",Intermediate , Specialization , 3 - 6 Months
DevOps on AWS,4.8,"[' Amazon Web Services, Cloud Computing, Continuous Delivery, Continuous Integration, DevOps, Devops Tools, Cloud Applications, Cloud Infrastructure, Cloud Management, Cloud Standards, Software Engineering, Software Testing, Cloud Storage']",Intermediate , Specialization , 1 - 3 Months
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",4.9,"[' Applied Machine Learning, Deep Learning, Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Algorithms, Computer Programming, Mathematics, Python Programming, Mathematical Theory & Analysis, Tensorflow, Human Learning']",Intermediate , Course , 1 - 4 Weeks
Foundations of Management,4.8,"[' Leadership and Management, Accounting, Financial Accounting, Communication, Customer Analysis, Design and Product, Human Resources, Market Analysis, Marketing, Strategy and Operations, Finance, Financial Management, Leadership Development, Marketing Design, Product Marketing, Strategy, Employee Relations, Management Accounting, People Development, People Management, Product Design, Product Development, Business Psychology, Collaboration, Culture, Financial Analysis']",Beginner , Specialization , 3 - 6 Months
Introduction to Programming with Python and Java,4.4,"[' Computer Programming, Python Programming, Programming Principles, Java Programming, Computer Programming Tools, Data Analysis, Data Structures, Problem Solving, Computational Logic, Computational Thinking, Critical Thinking, Data Analysis Software, Data Management, Data Visualization, Exploratory Data Analysis, Software Engineering, Data Science']",Beginner , Specialization , 3 - 6 Months
Human Resource Management: HR for People Managers,4.8,"[' Human Resources, Human Resources Operations, Employee Relations, Strategy and Operations, People Management, Leadership and Management, Communication, Strategy, Compensation, People Development, Performance Management, Organizational Development, Planning, Professional Development, Recruitment, Business Psychology, People Analysis, Training, Benefits, Business Analysis, Culture']",Beginner , Specialization , 3 - 6 Months
"Assets, Threats, and Vulnerabilities",4.8,"[' Cryptography, Leadership and Management, Linux']",Beginner , Course , 1 - 4 Weeks
Game Theory,4.6,"[' Decision Making, Game Theory, General Statistics, Problem Solving, Critical Thinking, Mathematical Theory & Analysis']",Beginner , Course , 1 - 3 Months
Capstone: Applying Project Management in the Real World,4.8,"[' Communication, Leadership and Management, Planning, Problem Solving, Project Management']",Beginner , Course , 1 - 4 Weeks
Generative Adversarial Networks (GANs),4.7,"[' Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Python Programming, Deep Learning, Machine Learning Software, Statistical Programming, Computer Vision, Computer Programming, Human Learning, Probability & Statistics']",Intermediate , Specialization , 1 - 3 Months
Bookkeeping Basics,4.6,"[' Accounting, General Accounting, Accounting Software, Finance']",Beginner , Course , 1 - 4 Weeks
Machine Learning in Production,4.8,"[' Machine Learning, Applied Machine Learning, Leadership and Management']",Intermediate , Course , 1 - 4 Weeks
Think like a CFO,4.8,"[' Finance, Financial Accounting, Accounting, Investment Management, Financial Management, Financial Analysis, Leadership and Management, Risk Management, Business Analysis, Corporate Accouting, Management Accounting']",Beginner , Specialization , 3 - 6 Months
"JavaScript Programming with React, Node & MongoDB",4.4,"[' Javascript, Web Development, Computer Programming, Computer Science, Front-End Web Development, NoSQL, React (web framework)']",Beginner , Specialization , 3 - 6 Months
AI for Medicine,4.7,"[' Machine Learning, Machine Learning Algorithms, Deep Learning, Python Programming, Artificial Neural Networks, Statistical Programming, Probability & Statistics']",Intermediate , Specialization , 1 - 3 Months
Data Analysis with R Programming,4.8,"[' R Programming, Data Analysis, Computer Programming, Data Visualization, SQL']",Beginner , Course , 1 - 3 Months
From Likes to Leads: Interact with Customers Online,4.8,"[' Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Social Media, Advertising, Data Analysis, Strategy']",Beginner , Course , 1 - 3 Months
Agile Development,4.7,"[' Agile Software Development, Design and Product, Leadership and Management, Product Management, Software Engineering, Product Development, Project Management, User Experience, Customer Analysis, Product Design, Data Analysis, Business Analysis, Communication, Continuous Delivery, Visualization (Computer Graphics)']",Beginner , Specialization , 3 - 6 Months
Python 3 Programming,4.7,"[' Python Programming, Computer Programming, Problem Solving']",Beginner , Specialization , 3 - 6 Months
Reinforcement Learning,4.7,"[' Machine Learning, Reinforcement Learning, Algorithms, Human Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Python Programming, Statistical Machine Learning, Statistical Programming, Artificial Neural Networks, Markov Model, Decision Making, Estimation']",Intermediate , Specialization , 3 - 6 Months
Methods and Statistics in Social Sciences,4.6,"[' Probability & Statistics, Statistical Tests, General Statistics, Correlation And Dependence, Statistical Programming, Basic Descriptive Statistics, Statistical Analysis, Research and Design, Data Analysis, Regression, Adaptability, Computational Thinking, Critical Thinking, People Analysis, Theoretical Computer Science, Writing, Probability Distribution, Problem Solving, R Programming, Experiment, Computer Programming']",Beginner , Specialization , 3 - 6 Months
Project Management,4.7,"[' Leadership and Management, Project Management, Planning, Strategy and Operations, Product Management, Agile Software Development, People Management, Strategy, Scrum (Software Development), Performance Management, Risk Management, Business Process Management, Business Communication, Decision Making, Adaptability, Organizational Development, Product Development, Collaboration, Data Analysis, Estimation, Budget Management']",Beginner , Specialization , 1 - 3 Months
Genomic Data Science,4.5,"[' Bioinformatics, Computer Programming, Data Analysis, Python Programming, Computational Thinking, General Statistics, Exploratory Data Analysis, R Programming, Data Analysis Software, Algorithms, Computer Programming Tools, Biostatistics, Statistical Analysis, Programming Principles, Probability & Statistics, Statistical Tests, Data Structures, Operating Systems, Research and Design, Big Data, Computational Logic, Problem Solving, Statistical Programming, Experiment, Correlation And Dependence']",Intermediate , Specialization , 3 - 6 Months
Google Cloud Digital Leader Training,4.8,"[' Cloud Infrastructure, Google Cloud Platform, Cloud Computing, Data Architecture, Cloud Platforms, DevOps, Google App Engine, Innovation, Leadership and Management, Machine Learning']",Beginner , Professional Certificate , 3 - 6 Months
Successful Negotiation: Essential Strategies and Skills,4.8,"[' Contract Management, Negotiation, Communication, Decision Making, Strategy']",Beginner , Course , 1 - 3 Months
Data Science: Foundations using R,4.6,"[' Data Analysis, R Programming, Statistical Programming, Exploratory Data Analysis, Computer Programming, Computer Programming Tools, Data Management, Programming Principles, Data Structures, Statistical Analysis, Critical Thinking, Problem Solving, General Statistics, Process Analysis, Basic Descriptive Statistics, Statistical Tests, Computational Thinking, Big Data, Data Visualization, Databases, Extract, Transform, Load, Plot (Graphics), Communication, Computer Graphic Techniques, Computer Graphics, Interactive Data Visualization, Knitr, Visualization (Computer Graphics)']",Beginner , Specialization , 3 - 6 Months
Introduction to Generative AI,4.7,"[' Artificial Neural Networks, Deep Learning, Machine Learning']",Beginner , Course , 1 - 4 Weeks
Risk Management,4.6,"[' Leadership and Management, Risk Management, Finance, Probability & Statistics, Strategy, Financial Analysis, Strategy and Operations, Operations Management, Statistical Tests, Business Analysis, Business Process Management, Operational Analysis, Market Analysis, Financial Management, Banking, General Statistics, Operating Systems, Critical Thinking, Probability Distribution, Statistical Visualization']",Beginner , Specialization , 3 - 6 Months
Share Data Through the Art of Visualization,4.6,"[' Business Communication, Data Analysis, Data Visualization, Data Visualization Software, Tableau Software']",Beginner , Course , 1 - 4 Weeks
System Administration and IT Infrastructure Services,4.7,"[' Cloud Computing, Leadership and Management']",Beginner , Course , 1 - 3 Months
(ISC)Â² Systems Security Certified Practitioner (SSCP),4.7,"[' Security Engineering, System Security, Network Security, Software Security, Computer Security Incident Management, Leadership and Management, Security Software, Risk Management, Strategy and Operations, Algorithms, Cloud Computing, Cryptography, Cyberattacks, Operations Management, Human Factors (Security), Software-Defined Networking, Cloud Applications, Process Analysis, Communication, Financial Accounting']",Beginner , Specialization , 3 - 6 Months
Software Product Management,4.7,"[' Software Engineering, Agile Software Development, Product Management, Design and Product, Leadership and Management, Project Management, Planning, Application Development, Product Design, Product Development, Entrepreneurship, Strategy and Operations, Business Analysis, Collaboration, User Experience, Scrum (Software Development), Supply Chain and Logistics']",Beginner , Specialization , 3 - 6 Months
AI Fundamentals for Non-Data Scientists,4.8,"[' Machine Learning, Machine Learning Algorithms, Artificial Neural Networks, Data Analysis, Deep Learning, Human Learning, Big Data']",Mixed , Course , 1 - 4 Weeks
Meta Marketing Science Certification Prep,4.8,"[' Marketing, Digital Marketing, Advertising, Data Analysis, Business Analysis, Marketing Management, Media Strategy & Planning, Statistical Analysis, Probability & Statistics, Market Analysis, Communication, Experiment, General Statistics, Market Research, Regression, Statistical Tests, Basic Descriptive Statistics, Brand Management, Forecasting, Probability Distribution, Research and Design']",Intermediate , Specialization , 3 - 6 Months
Google Professional Workspace Administrator,4.7,"[' Account Management, Google Cloud Platform, Leadership and Management, Cloud Management, System Security, Cloud Applications, Cloud Platforms, Operations Management, Cloud Computing, Other Cloud Platforms and Tools, Database Administration, Organizational Development, Collaboration, Data Management, User Experience, Security Engineering, Security Strategy, Software Security, Software As A Service, Network Security, Security Software, Change Management, Google App Engine, Planning, Accounting']",Beginner , Professional Certificate , 1 - 3 Months
Introduction to Data Analytics,4.8,"[' Data Analysis, Data Management, Data Structures, Data Visualization, Databases, Python Programming, SQL, Big Data, Data Mining, Data Science, NoSQL, R Programming, Microsoft Excel']",Beginner , Course , 1 - 3 Months
TensorFlow: Advanced Techniques,4.8,"[' Deep Learning, Machine Learning, Tensorflow, Artificial Neural Networks, Applied Machine Learning, Python Programming, Machine Learning Algorithms, Human Learning, Computer Vision, Computer Programming, Network Model, Machine Learning Software, Network Architecture, Training, Visualization (Computer Graphics), Computer Graphic Techniques, Dimensionality Reduction, Strategy']",Intermediate , Specialization , 3 - 6 Months
Global Procurement and Sourcing,4.7,"[' Procurement, Customer Relationship Management, Leadership and Management, Negotiation, Supplier Relationship Management']",Beginner , Specialization , 3 - 6 Months
"Influencing: Storytelling, Change Management and Governance",4.8,"[' Leadership and Management, Communication, Business Psychology, Conflict Management, Strategy and Operations, Change Management, Influencing, Organizational Development, Risk Management, Marketing, Negotiation, Sales, Critical Thinking, Decision Making, Entrepreneurship, Human Resources, Probability & Statistics, Business Communication, Employee Relations, C++ Programming, Regulations and Compliance, Tensorflow, Storytelling']",Beginner , Specialization , 3 - 6 Months
Cybersecurity Fundamentals,4.8,"[' System Security, Cyberattacks, Cryptography, Network Security, Security Engineering']",Beginner , Specialization , 3 - 6 Months
What is Data Science?,4.7,"[' Big Data, Data Analysis, Data Mining, Data Science, Deep Learning, Machine Learning, Regression, Writing']",Beginner , Course , 1 - 4 Weeks
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,4.9,"[' Negotiation, Game Theory, Strategy']",Mixed , Course , 1 - 3 Months
Self-Driving Cars,4.7,"[' Algorithms, Machine Learning, Python Programming, Computer Programming, Mathematics, Theoretical Computer Science, Estimation, Mathematical Theory & Analysis, Probability & Statistics, Applied Machine Learning, Computer Vision, Software Engineering, Computer Programming Tools, Critical Thinking, Problem Solving, Strategy and Operations, Systems Design, General Statistics, Linear Algebra, Probability Distribution, Artificial Neural Networks, Planning']",Advanced , Specialization , 3 - 6 Months
Stanford Introduction to Food and Health,4.7,[],Beginner , Course , 1 - 3 Months
